track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence,year
2XU7Kk19SYjjkHlMRgyQ2v,28,0.495,0,0.599,-9.061,0.335,0.674,2016
6R4mJG0KZVNsgXJGtycZkx,28,0.711,0.839,0.0969,-13.369,0.121,0.741,2019
2jMXzoFjj3bdxL0phZHEM7,28,0.739,3.43E-06,0.0736,-4.764,0.278,0.804,2014
3FaKyLEmNpNS4SU1jvg5Jz,28,0.535,0,0.662,-12.663,0.0413,0.922,1992
6uZWO3zbAwykRMHgJU3b1a,28,0.727,0.273,0.274,-10.407,0.226,0.495,2000
5dV0BmSJTb41SA3RDe1Umg,28,0.857,1.62E-05,0.0575,-3.465,0.163,0.878,2017
3Ie0YxjitVBILvpZHOuaBp,28,0.703,0,0.322,-7.339,0.0365,0.702,2018
2sLZTwiOzQELXUiDfyjUKW,28,0.245,0.809,0.328,-23.544,0.0369,0.0395,2018
1EbCIqzGgMncuxmVYQtXab,28,0.167,0.741,0.0694,-23.383,0.0336,0.0718,2014
1i34efr3QGx3Z6Iq016jGY,28,0.634,0.0413,0.0922,-14.002,0.0628,0.154,2018
5yvZPYNLwY1NxZynJ46MrT,28,0.636,0.0861,0.174,-7.435,0.0341,0.636,2010
69NacwuXfdNklyhd94ZqE9,28,0.665,0,0.0566,-5.003,0.0913,0.823,2017
392R0LNlJUKIrgdhxJpNoA,28,0.819,0,0.112,-11.831,0.283,0.0768,2018
2jjMjcfpusQCnz2Y6deFq8,28,0.801,0,0.22,-6.407,0.0925,0.965,2014
29pV4KdhjtBuBu9KapmseW,28,0.423,0,0.111,-6.594,0.0401,0.336,2016
4AeZKrbiPqJuVrJvrngTkR,28,0.574,0,0.0589,-12.036,0.0472,0.546,1979
4hGQimHlIhfEnYgZZUsyxp,28,0.562,9.26E-06,0.0875,-17.411,0.0291,0.399,1987
58RcNEoR4CHHFju2jfema6,28,0.621,0.0108,0.0854,-10.748,0.0289,0.658,1981
4iQz1P9aPfJoY4Vbc6roLY,28,0.19,0.79,0.0982,-14.586,0.047,0.125,2017
6zlinFLLl0xEb5l37NYxe4,28,0.306,0.871,0.203,-11.752,0.0328,0.0393,2017
6nNJezS1bykgQ9C0HKLbGS,28,0.76,7.05E-05,0.12,-10.71,0.0525,0.314,2018
2iNU9vrQ7ZisCS4kJN6qmT,28,0.359,0,0.97,-6.812,0.0402,0.097,2007
1U0CPgUkaKt2RnjOfwW94x,28,0.161,0.86,0.113,-15.866,0.0433,0.068,2014
1cl3rurzw8Rj8YN2Lu1xiT,28,0.424,0.000137,0.277,-7.879,0.0356,0.159,2000
3V8eyFzcoJDHrXHZ48t4X9,28,0.785,1.35E-06,0.0752,-14.039,0.174,0.176,2016
7Dzl6OuOSBnpWLW0G0Elvy,28,0.699,0.00343,0.0983,-7.259,0.0415,0.489,2019
03w5w3EqeTNIFMAtlnKb2R,28,0.649,0,0.84,-11.305,0.933,0.54,2007
2EmihuJbmXOcfN3QafNIkJ,28,0.55,0.722,0.139,-26.005,0.0336,0.375,2018
69S4GgVyV3Fs7kIz5gl3rv,28,0.625,3.98E-05,0.156,-5.709,0.0438,0.963,2002
5evMC5hTEqM8LR0GTPXqCV,28,0.675,0,0.168,-6.157,0.14,0.832,2013
0K9XD6kV0t9JTbk5w5TdUX,28,0.211,0.936,0.0985,-21.761,0.0367,0.0466,2018
5FsywwmZdRifJcBaaHsM1G,28,0.566,2.88E-06,0.074,-10.396,0.0311,0.145,2018
3XnLRYmSMuTAlYBywGTGju,28,0.544,0,0.784,-9.234,0.94,0.496,2007
2yC5fkbheXzVYEFZIUkGET,28,0.521,0.00302,0.137,-8.084,0.0424,0.253,2017
10jlKneHg9F3tdYk1mDEPy,28,0.679,0.968,0.119,-17.322,0.0632,0.572,2017
4aWLHJkfiEuSWm2YSWHbQQ,28,0.46,0.0341,0.106,-15.814,0.0266,0.242,2013
5ZpSWIkkVOcfNmDFrsXPka,28,0.191,0.933,0.365,-20.183,0.0441,0.0539,2019
1sOoAbn1Sw1EAAsu8kF3HW,28,0.478,0.947,0.0756,-17.539,0.0433,0.221,2013
4MZrz8znekDgMAQ2qQY7jL,28,0.121,0.9,0.11,-22.768,0.0432,0.055,1986
2g3FsbHvSHYSGJjjnCHKvx,28,0.577,0.918,0.109,-8.231,0.148,0.916,2016
2PZUuPzZULeVhVbgnyStly,28,0.499,1.23E-06,0.0947,-9.134,0.0346,0.389,2018
0mc13CtpulBsR2HC2spdmO,28,0.621,0,0.0795,-10.909,0.029,0.758,1993
