,track_id,popularity,danceability,instrumentalness,liveness,loudness,speechiness,valence
117504,3I9Hc2042AjwkkNBI9HWE1,41.0,0.716,1.62e-05,0.0537,-2.675,0.0855,0.562
117505,1rUHLQEmtefobuukC1SVDf,58.0,0.477,0.0,0.268,-4.692,0.0547,0.71
117506,2xrRBqEanoBaA0tOgYy18V,51.0,0.534,0.000132,0.115,-3.927,0.0542,0.887
117507,3GjLecyioIsSt0EaNecctC,50.0,0.604,0.000315,0.0823,-5.99,0.0344,0.666
117508,3NURF3IznpXjSnfSHySTmM,42.0,0.662,4.78e-05,0.525,-5.495,0.0669,0.763
117509,3RtG4ReXHEhIPkxPHCF4jp,39.0,0.662,4.78e-05,0.525,-5.495,0.0669,0.763
117510,15BsrefgYpMgu1ZCIr8EJw,59.0,0.583,0.00101,0.121,-3.296,0.0318,0.2
117511,5FYRDy9dLVi2uTa8httrVk,51.0,0.486,0.0,0.0473,-3.864,0.0932,0.551
117512,40Cck5doYRRMAbFirn7VoH,48.0,0.589,1.49e-05,0.114,-7.168,0.036,0.495
117513,2cCWbBmadLbKvr9xddC79R,59.0,0.598,0.0,0.147,-5.209,0.0388,0.288
117514,6LjvqlPeCj62wF4oPJ6XOe,53.0,0.295,0.0,0.114,-5.253,0.0337,0.199
117515,7Hn0bZgca6QFz6OyKkvAi6,58.0,0.448,0.00416,0.139,-5.058,0.0473,0.168
117516,0f34MnV51uwA1jhPQ2XnDe,58.0,0.365,6.55e-06,0.141,-5.912,0.0909,0.46
117517,5POfKAQ3BLtvfzqpf5zlTi,35.0,0.887,0.0,0.135,-6.535,0.44,0.157
117518,6hubiasSMCpOCrcCbHDGTm,36.0,0.624,0.0163,0.0971,-6.476,0.0695,0.361
117519,2EQIn7DKZbxzvOUCMsh7vp,49.0,0.549,0.0426,0.288,-5.339,0.0384,0.364
117520,5d1ix6uxnaiPzQpWjoOtrN,47.0,0.528,6.7e-05,0.132,-4.363,0.0332,0.299
117521,6DUKQUhWqUySYngLXLNwP2,60.0,0.68,0.737,0.0884,-6.078,0.0384,0.959
117522,202QyrB6Q3Kimsr7KqJut3,55.0,0.472,0.00576,0.128,-5.024,0.0446,0.461
117523,5XORpyys9dvyjJWpTYeame,52.0,0.732,0.000176,0.104,-5.577,0.063,0.778
117524,2EPbvVyo2qrrmeiEm57Cfl,44.0,0.749,0.0,0.337,-2.808,0.074,0.393
117525,4qjvr0qMFUo26SxwC4VygS,59.0,0.693,2.01e-05,0.11,-3.389,0.0844,0.533
117526,2SWn864dJI5RNyrp3F4Kp1,53.0,0.533,0.0593,0.338,-4.566,0.0362,0.579
117527,6qST0IPVo7CCmKqxmTfCAm,47.0,0.757,0.0168,0.131,-4.783,0.0971,0.316
117528,6TCk1yecQRDU5sXG3vjTYj,50.0,0.635,0.0,0.135,-4.93,0.0698,0.814
117529,33EkERURm0CQE5imnxBY3k,38.0,0.756,0.000455,0.325,-6.211,0.251,0.311
117530,1CkPfZMwCeNid9kFTyVbXw,47.0,0.553,1.83e-06,0.0975,-5.152,0.0466,0.496
117531,33ayEZDfgARpadIdqo87JQ,59.0,0.609,2.4e-05,0.419,-4.24,0.0966,0.428
117532,5611kGfXxWTSKXhK8GGtZ6,46.0,0.649,0.877,0.111,-10.667,0.0336,0.246
117533,4IvYW5NRB5U8FE1nHTQkGn,55.0,0.822,0.00221,0.0758,-8.473,0.0303,0.961
117534,31xmybhg0i4lxMIn45aVq4,54.0,0.277,0.0,0.354,-3.408,0.112,0.355
117535,5xyACR2lzIyzFepF4qlAas,58.0,0.415,0.0,0.126,-6.947,0.0357,0.261
117536,3WnrxWNTHDGyCVCwfMJPtR,58.0,0.558,3.4e-06,0.395,-3.569,0.122,0.576
117537,186hvCTyrni4KT9nwIQ7zS,55.0,0.619,0.00346,0.102,-8.204,0.0792,0.675
117538,3QjQp2bfAvLTCSi8Zhzqis,58.0,0.53,0.0207,0.272,-6.361,0.302,0.706
117539,0sqE6XPi9VAaWl5NxDyMQK,61.0,0.314,1.92e-06,0.321,-5.792,0.0559,0.439
117540,1s9U4QrS2iqXEPuKK7PPLS,47.0,0.394,0.29,0.268,-5.391,0.0363,0.736
117541,1OppUXF0ZsVATRbEyHOTyA,46.0,0.515,7.5e-06,0.076,-6.131,0.0391,0.134
117542,4l7YIni9bAiGwWMqK5wvgV,59.0,0.401,0.0,0.0916,-7.554,0.0404,0.458
117543,7Mm9djvOgY72LNHpChq6jy,49.0,0.73,0.00743,0.428,-6.174,0.0469,0.4
