Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
1,8,Beggin',"48,633,449",Måneskin,3377762,100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589
2,3,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478
1,11,good 4 u,"40,162,559",Olivia Rodrigo,6266514,99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688
3,5,Bad Habits,"37,799,456",Ed Sheeran,83293380,98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591
1,18,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565,97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758
5,1,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565,96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894
3,8,Yonaguni,"25,030,128",Bad Bunny,36142273,96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44
2,10,Todo De Ti,"26,951,613",Rauw Alejandro,6080597,95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342
8,10,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958
9,9,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363,95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768
5,3,Permission to Dance,"22,062,812",BTS,37106176,95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646
2,10,Butter,"19,985,713",BTS,37106176,95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695
3,16,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063,94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742
1,19,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126,94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464
7,10,traitor,"19,480,679",Olivia Rodrigo,6266514,94,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227,0.0849
5,14,Save Your Tears (with Ariana Grande) (Remix),"18,053,141",The Weeknd,35305637,94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593
2,34,Save Your Tears,"8,843,110",The Weeknd,35305637,94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593
3,17,deja vu,"18,571,755",Olivia Rodrigo,6266514,93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178
14,5,AM Remix,"17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734,93,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335,0.785
1,29,drivers license,"15,684,978",Olivia Rodrigo,6266514,92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137
1,83,Blinding Lights,"15,011,809",The Weeknd,35305637,92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040,0.334
12,10,happier,"14,849,078",Olivia Rodrigo,6266514,92,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933,0.338
27,3,Pepas,"14,809,458",Farruko,10502148,92,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120,0.442
15,23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"14,273,637","Riton, Nightcrawlers",83689,92,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153,0.801
5,21,Leave The Door Open,"13,963,568","Bruno Mars, Anderson .Paak, Silk Sonic",32574754,92,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096,0.719
19,3,Volando - Remix,"16,606,925","Mora, Bad Bunny, Sech",151486,91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632
11,10,favorite crime,"12,818,935",Olivia Rodrigo,6266514,91,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667,0.218
10,15,Pareja Del Año,"12,572,307","Sebastian Yatra, Myke Towers",16216789,91,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053,0.808
20,7,Need To Know,"16,908,917",Doja Cat,8640063,90,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560,0.194
22,5,Ain't Shit,"16,126,897",Doja Cat,8640063,90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253,0.619
18,3,Motley Crew,"14,329,162",Post Malone,33651775,90,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213,0.288
4,83,Watermelon Sugar,"11,996,689",Harry Styles,16112621,90,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000,0.557
41,13,Miénteme,"11,477,024","TINI, Maria Becerra",2936204,90,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275,0.916
17,10,"jealousy, jealousy","11,287,301",Olivia Rodrigo,6266514,90,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160,0.699
9,39,The Business,"10,739,770",Tiësto,5785065,90,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000,0.235
4,43,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474,89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915
3,28,Astronaut In The Ocean,"14,174,752",Masked Wolf,365975,89,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780,0.472
,16,RAPSTAR,"11,683,383",Polo G,4840346,89,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926,0.437
